ADT1_YEAST  0.58  0.61  0.47  0.13  0.50  0.00  0.48  0.22  1
ADT2_YEAST  0.43  0.67  0.48  0.27  0.50  0.00  0.53  0.22  1
ADT3_YEAST  0.64  0.62  0.49  0.15  0.50  0.00  0.53  0.22  1
AAR2_YEAST  0.58  0.44  0.57  0.13  0.50  0.00  0.54  0.22  2
AATM_YEAST  0.42  0.44  0.48  0.54  0.50  0.00  0.48  0.22  1
AATC_YEAST  0.51  0.40  0.56  0.17  0.50  0.50  0.49  0.22  0
ABC1_YEAST  0.50  0.54  0.48  0.65  0.50  0.00  0.53  0.22  1
BAF1_YEAST  0.48  0.45  0.59  0.20  0.50  0.00  0.58  0.34  2
ABF2_YEAST  0.55  0.50  0.66  0.36  0.50  0.00  0.49  0.22  1
ABP1_YEAST  0.40  0.39  0.60  0.15  0.50  0.00  0.58  0.30  0
ACE1_YEAST  0.43  0.39  0.54  0.21  0.50  0.00  0.53  0.27  2
ACE2_YEAST  0.42  0.37  0.59  0.20  0.50  0.00  0.52  0.29  2
ACH1_YEAST  0.40  0.42  0.57  0.35  0.50  0.00  0.53  0.25  0
ACON_YEAST  0.60  0.40  0.52  0.46  0.50  0.00  0.53  0.22  1
ACR1_YEAST  0.66  0.55  0.45  0.19  0.50  0.00  0.46  0.22  1
ACT_YEAST   0.46  0.44  0.52  0.11  0.50  0.00  0.50  0.22  0
ACT2_YEAST  0.47  0.39  0.50  0.11  0.50  0.00  0.49  0.40  0
ACT3_YEAST  0.58  0.47  0.54  0.11  0.50  0.00  0.51  0.26  2
ACT5_YEAST  0.50  0.34  0.55  0.21  0.50  0.00  0.49  0.22  2
ADA2_YEAST  0.61  0.60  0.55  0.21  0.50  0.00  0.50  0.25  2
C1TC_YEAST  0.45  0.40  0.50  0.16  0.50  0.00  0.50  0.22  0
PUR4_YEAST  0.43  0.44  0.48  0.22  0.50  0.00  0.51  0.22  0
PUR3_YEAST  0.73  0.63  0.42  0.30  0.50  0.00  0.49  0.22  0
ADH1_YEAST  0.43  0.53  0.52  0.13  0.50  0.00  0.55  0.22  0
ADH2_YEAST  0.46  0.53  0.52  0.15  0.50  0.00  0.58  0.22  0
ADH3_YEAST  0.51  0.51  0.52  0.51  0.50  0.00  0.54  0.22  1
ADH4_YEAST  0.59  0.45  0.53  0.19  0.50  0.00  0.59  0.27  0
KAD1_YEAST  0.57  0.47  0.60  0.18  0.50  0.00  0.51  0.22  0
KAD2_YEAST  0.63  0.67  0.57  0.24  0.50  0.00  0.49  0.22  1
ADP1_YEAST  0.80  0.88  0.36  0.39  0.50  0.00  0.56  0.33  3
ADR1_YEAST  0.53  0.54  0.43  0.10  0.50  0.00  0.57  0.32  2
AFG3_YEAST  0.51  0.51  0.43  0.87  0.50  0.00  0.52  0.22  1
AFR1_YEAST  0.38  0.61  0.61  0.12  0.50  0.00  0.53  0.47  0
RCS1_YEAST  0.33  0.55  0.51  0.43  0.50  0.00  0.51  0.22  2
AGA1_YEAST  0.78  0.74  0.42  0.26  0.50  0.00  0.43  0.22  3
AGA2_YEAST  0.74  0.67  0.47  0.34  0.50  0.00  0.42  0.22  4
YMX1_YEAST  0.72  0.61  0.45  0.30  0.50  0.00  0.54  0.25  1
SYAC_YEAST  0.40  0.45  0.57  0.18  0.50  0.00  0.56  0.26  0
DHA1_YEAST  0.59  0.53  0.43  0.44  0.50  0.00  0.50  0.22  1
DHA2_YEAST  0.57  0.53  0.53  0.34  0.50  0.00  0.53  0.22  1
ALG1_YEAST  0.86  0.68  0.39  0.24  0.50  0.00  0.54  0.22  5
ALG5_YEAST  0.86  0.74  0.51  0.40  0.50  0.00  0.55  0.22  5
GPT_YEAST   0.79  0.57  0.41  0.28  0.50  0.00  0.59  0.22  5
ALG8_YEAST  0.41  0.54  0.39  0.20  0.50  0.00  0.51  0.22  6
MAN1_YEAST  0.37  0.36  0.56  0.18  0.50  0.00  0.48  0.26  7
ANC1_YEAST  0.53  0.31  0.58  0.39  0.50  0.00  0.47  0.37  2
ANP1_YEAST  0.74  0.75  0.58  0.47  0.50  0.00  0.40  0.35  5
APE2_YEAST  0.49  0.39  0.52  0.29  0.50  0.00  0.48  0.22  4
APE3_YEAST  0.74  0.57  0.51  0.28  0.50  0.00  0.58  0.22  7
ALP1_YEAST  0.42  0.24  0.34  0.16  0.50  0.00  0.50  0.22  6
ADB2_YEAST  0.48  0.39  0.51  0.21  0.50  0.00  0.52  0.28  0
